City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Vyritsa,RU,44.11,overcast clouds,59.4078,30.3481,Гостиница
485,Kristinehamn,SE,50.56,overcast clouds,59.3098,14.1081,Hotell Marieberg
487,Westport,US,57.88,overcast clouds,41.1415,-73.3579,The Westport Inn
489,Solnechnyy,RU,46.4,light rain,50.7214,136.6319,Hotel complex Pastoral
490,Billings,US,61.72,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
491,Ingham,US,66.06,clear sky,42.6,-84.3833,Sunset Mobile Home Park
492,Hornepayne,CA,57.13,overcast clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
495,Batagay,RU,16.25,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
496,Fortuna,US,60.66,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
497,Kauhajoki,FI,40.98,overcast clouds,62.4333,22.1833,Helmin Kortteeri / Kahvila Helmi Saarikoski Oy
498,Pomichna,UA,51.26,broken clouds,48.2422,31.4158,Будинок Відпочинку Лок. Бригад
500,Gulu,UG,67.05,broken clouds,2.7746,32.299,ACHOLI INN
501,Klaksvik,FO,52.72,few clouds,62.2266,-6.589,Airbnb rooms
505,Rocha,UY,65.12,clear sky,-34.4833,-54.3333,Hotel Arrarte
509,Mikuni,JP,67.91,overcast clouds,36.2171,136.1519,Seifuso
511,Payakumbuh,ID,69.66,overcast clouds,-0.2202,100.6308,Dalimo Homestay
512,Turhal,TR,65.68,light rain,40.3875,36.0811,Hotel Grand Efe
513,Capljina,BA,64.54,clear sky,43.1214,17.6844,Hotel Mogorjelo
515,Genhe,CN,23.68,clear sky,50.7833,121.5167,Companionship Hotel
517,Maldonado,UY,61.99,clear sky,-34.6667,-54.9167,La Cimarrona
518,Kaeo,NZ,60.33,broken clouds,-35.1,173.7833,Bushido Lodge
519,Asau,RO,51.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
520,Borovoy,RU,33.08,clear sky,55.4333,86.0833,Tsimus
524,Visnes,NO,55.45,light intensity shower rain,59.3556,5.2242,Park Inn Haugesund Airport
526,Pangody,RU,32.85,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
529,Carndonagh,IE,56.82,broken clouds,55.25,-7.2667,Riversdale Country House
532,Zaysan,KZ,32.5,clear sky,47.4667,84.8667,Ерлан үй
535,Yacuiba,BO,69.67,overcast clouds,-22.038,-63.6797,Hotel Monumental
536,Lakes Entrance,AU,41.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
537,Dieppe,FR,53.78,clear sky,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
538,Wuwei,CN,47.39,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
539,Khandyga,RU,19.94,overcast clouds,62.6667,135.6,Apel'sin
540,Nanortalik,GL,37.65,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
541,Whitehorse,CA,49.1,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
544,Oromocto,CA,58.71,clear sky,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
545,Ambilobe,MG,66.47,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
551,Konza,KE,61.97,broken clouds,-1.7426,37.1294,Camp Howl
553,Yabrud,SY,66.29,few clouds,33.9674,36.6574,صالة افراح الاندلس
555,Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
559,Civitavecchia,IT,68.61,broken clouds,42.0933,11.7967,Hotel Mediterraneo
560,Buta,CD,69.42,moderate rain,2.7858,24.73,Hôtel BOPANDO
561,Kenora,CA,63.57,few clouds,49.8167,-94.4337,Maynard Lake Lodge
564,Moose Factory,CA,51.8,clear sky,51.2585,-80.6094,Moosonee Lilypad
567,Garden City,US,66.87,few clouds,42.3256,-83.331,Big Trees Mobile Home Community
568,Ayagoz,KZ,29.93,clear sky,47.9714,80.4392,Gostinitsa Nur
570,Burnie,AU,47.91,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
